2026	7207
3397	4146
1799	2097
1128	3013
1432	9041
3142	6845
3641	9410
3313	11205
3059	3941
3511	7896
1303	4390
3196	473
1838	7099
1185	7194
2888	9547
1900	3476
881	7940
554	5615
3512	8216
462	8401
74	8289
654	6140
473	1655
1449	6667
3664	3053
2397	2195
3324	9487
3702	7344
2268	5661
3416	4688
3243	4740
820	10902
34	3577
3398	3484
2154	5298
2852	10609
2543	8106
3225	5618
1817	10009
273	1834
2144	2710
2360	1835
2127	10287
904	137
1684	10971
993	1069
1793	10214
2868	8236
1909	3925
1769	194
3678	4934
3557	5342
1181	7562
2023	5120
3578	2302
2685	7589
3005	2574
2256	6362
2044	3263
3560	2718
1304	7281
3300	7898
449	10328
3573	6888
3350	8122
2169	6973
875	791
3183	4890
2833	2827
1876	1346
351	10914
3238	6918
885	10220
2672	2110
3010	8743
900	8761
3688	8735
2900	8813
1104	11242
540	1885
3169	7684
1595	2500
1876	269
1102	5267
2370	8446
3134	8304
1918	991
1383	2569
3008	851
1757	6318
3093	5103
1305	1311
2673	5693
470	6220
1160	6722
3678	7864
982	841
2485	168
2130	6891
3057	5737
942	8007
2882	8663
2201	2137
1757	7687
3518	10311
2596	8542
2281	6813
3246	3331
3423	507
3688	1613
722	5581
1905	7286
236	11252
15	6145
3512	10851
2612	2046
2662	764
2273	3760
60	4865
3317	10361
1900	6693
546	6428
3530	337
2873	2831
2669	2811
3578	8279
2658	10129
3544	9247
2832	5556
2150	8990
268	1997
1481	9866
3338	9166
1909	1811
1011	1915
13	10452
2555	2864
3581	8155
3305	5074
2996	6466
1874	10464
2396	9563
679	3488
2023	0
60	1047
665	5777
687	754
970	6512
3717	535
3065	6071
1647	8502
1961	9542
1174	10383
1105	1736
2951	1835
1476	1637
819	47
2800	713
2169	1580
2999	752
2922	3240
1980	7531
1570	1400
3095	7769
794	5437
2575	3552
1185	2041
8	7630
2502	81
57	2591
212	2352
864	9285
2758	7352
2023	4972
3510	151
914	7094
1838	5686
2032	2482
2861	8233
1916	558
2680	8541
1133	27
2411	8331
3703	8644
2141	4141
3431	1545
3546	3364
2556	4853
819	5618
2517	9488
1668	7971
557	9485
2207	9510
2144	640
1933	8914
687	5313
272	1203
968	834
3522	4523
1057	11114
3002	7260
3591	8041
3661	8133
3066	6624
3091	10728
1249	5053
2928	7019
3287	8454
1084	9394
95	9903
1163	10016
130	7091
1660	10718
2766	7085
1879	5868
3638	10520
3106	9370
486	9242
788	8304
2774	6549
398	4871
808	1571
1737	2253
161	721
2444	10437
2656	7132
2293	7064
727	4416
687	8710
3304	383
1508	7580
3291	863
592	7504
3065	9269
3089	5855
2091	403
3432	6651
859	10571
974	5292
3152	8196
408	7413
1617	3376
753	2091
2492	7750
